Date,Revenue,Orders,Traffic,ConversionRate,Refunds,,
05-01-2025,12450,412,8920,4.62,120,,
12-01-2025,13100,435,9350,4.65,98,,
19-01-2025,11800,390,8750,4.46,145,,
26-01-2025,11550,382,8600,4.44,130,,
02-02-2025,11200,370,8450,4.38,115,,
09-02-2025,12800,425,9300,4.57,105,,
16-02-2025,13450,445,9750,4.56,110,,
23-02-2025,12900,430,9400,4.57,95,,
02-03-2025,12200,405,9050,4.48,125,,
09-03-2025,13500,450,9900,4.55,80,,
16-03-2025,14100,470,10200,4.61,85,,
23-03-2025,13800,460,10000,4.6,90,,
30-03-2025,13200,440,9650,4.56,100,,
06-04-2025,14500,485,10400,4.66,70,,
13-04-2025,15200,510,10800,4.72,65,,
20-04-2025,14800,495,10600,4.67,80,,
27-04-2025,14000,465,10250,4.54,95,,
04-05-2025,13650,455,10000,4.55,110,,
11-05-2025,14200,470,10300,4.56,85,,
18-05-2025,15500,520,11000,4.73,60,,
25-05-2025,16000,535,11400,4.69,50,,
01-06-2025,15800,525,11200,4.69,70,,
08-06-2025,15100,500,10700,4.67,90,,
15-06-2025,14900,495,10600,4.67,85,,
22-06-2025,16200,540,11500,4.7,45,,
29-06-2025,16800,560,11800,4.75,40,,
06-07-2025,16400,545,11600,4.7,55,,
13-07-2025,15900,530,11250,4.71,65,,
20-07-2025,15700,520,11100,4.68,75,,
27-07-2025,15300,510,10800,4.72,80,,
03-08-2025,16500,550,11700,4.7,50,,
10-08-2025,17200,575,12100,4.75,45,,
17-08-2025,16900,560,11900,4.71,50,,
24-08-2025,16600,555,11800,4.7,60,,
31-08-2025,16100,535,11400,4.69,70,,
07-09-2025,17000,565,12000,4.71,55,,
14-09-2025,17500,585,12300,4.76,40,,
21-09-2025,17800,595,12500,4.76,35,,
28-09-2025,17300,580,12200,4.75,45,,
05-10-2025,16900,565,11900,4.75,50,,
12-10-2025,18000,600,12700,4.72,30,,
19-10-2025,18500,615,13000,4.73,25,,
26-10-2025,18200,605,12800,4.73,35,,
02-11-2025,17600,585,12400,4.72,40,,
09-11-2025,17100,570,12100,4.71,50,,
16-11-2025,16800,560,11900,4.71,55,,
23-11-2025,16400,545,11600,4.7,60,,
30-11-2025,14500,480,10200,4.71,150  <-- Anomaly 1: Revenue dropped sharply (Black Friday? No, it's the week AFTER Black Friday, unexpected drop + high refunds)
07-12-2025,19000,630,13500,4.67,20  <-- Anomaly 2: Huge spike (Cyber Monday catch-up?),,
14-12-2025,18600,620,13200,4.7,25,,
21-12-2025,18000,600,12800,4.69,30,,
28-12-2025,17400,580,12400,4.68,35,,
